;D1_FG_PCT_L5;fl_home_win
PHI @ BOS 2018-10-16;0,0;1
OKC @ GSW 2018-10-16;0,0;1
MIL @ CHA 2018-10-17;0,0;0
BKN @ DET 2018-10-17;0,0;1
MEM @ IND 2018-10-17;0,0;1
MIA @ ORL 2018-10-17;0,0;1
ATL @ NYK 2018-10-17;0,0;1
CLE @ TOR 2018-10-17;0,0;1
NOP @ HOU 2018-10-17;0,0;0
MIN @ SAS 2018-10-17;0,0;1
UTA @ SAC 2018-10-17;0,0;0
DEN @ LAC 2018-10-17;0,0;0
DAL @ PHX 2018-10-17;0,0;1
LAL @ POR 2018-10-18;0,0;1
MIA @ WAS 2018-10-18;-0,0784;0
CHI @ PHI 2018-10-18;0,0782;1
CHA @ ORL 2018-10-19;-0,006200000000000011;0
NYK @ BKN 2018-10-19;0,006599999999999995;1
BOS @ TOR 2018-10-19;0,011200000000000002;1
ATL @ MEM 2018-10-19;-0,0316;1
CLE @ MIN 2018-10-19;0,0058;1
SAC @ NOP 2018-10-19;0,0030000000000000027;1
IND @ MIL 2018-10-19;-0,01440000000000001;1
GSW @ UTA 2018-10-19;0,015399999999999997;0
OKC @ LAC 2018-10-19;0,006999999999999992;1
SAS @ POR 2018-10-20;0,0020000000000000018;1
PHX @ DEN 2018-10-20;-0,03279999999999998;1
MIN @ DAL 2018-10-20;-0,10059999999999998;1
DET @ CHI 2018-10-20;0,0023999999999999994;0
HOU @ LAL 2018-10-20;0,011999999999999997;0
ORL @ PHI 2018-10-20;0,013200000000000017;1
BKN @ IND 2018-10-20;0,004400000000000043;1
CHA @ MIA 2018-10-20;-0,025800000000000017;0
BOS @ NYK 2018-10-20;0,0040000000000000036;0
TOR @ WAS 2018-10-20;-0,09739999999999999;0
ATL @ CLE 2018-10-21;-0,01319999999999999;0
SAC @ OKC 2018-10-21;-0,06319999999999998;0
GSW @ DEN 2018-10-21;-0,023999999999999994;1
HOU @ LAC 2018-10-21;-0,010399999999999965;1
SAS @ LAL 2018-10-22;0,022800000000000015;0
CHA @ TOR 2018-10-22;0,008999999999999952;1
NYK @ MIL 2018-10-22;-0,06079999999999999;1
IND @ MIN 2018-10-22;-0,019600000000000006;1
CHI @ DAL 2018-10-22;-0,0019999999999999463;1
MEM @ UTA 2018-10-22;0,025400000000000006;0
WAS @ POR 2018-10-22;0,018199999999999994;0
PHX @ GSW 2018-10-22;0,10819999999999996;1
ORL @ BOS 2018-10-22;-0,0030000000000000027;0
SAC @ DEN 2018-10-23;-0,05879999999999996;1
LAC @ NOP 2018-10-23;-0,03639999999999999;1
PHI @ DET 2018-10-23;-0,1026;1
LAL @ PHX 2018-10-24;-0,02100000000000002;0
DAL @ ATL 2018-10-24;0,015599999999999947;1
BKN @ CLE 2018-10-24;-0,02180000000000004;0
NYK @ MIA 2018-10-24;-0,09619999999999998;1
MIN @ TOR 2018-10-24;0,01819999999999994;1
CHA @ CHI 2018-10-24;-0,06459999999999999;1
UTA @ HOU 2018-10-24;0,008599999999999997;0
IND @ SAS 2018-10-24;-0,11660000000000004;0
PHI @ MIL 2018-10-24;-0,08139999999999997;1
MEM @ SAC 2018-10-24;0,17980000000000002;1
WAS @ GSW 2018-10-24;0,13379999999999997;1
CLE @ DET 2018-10-25;-0,08579999999999993;1
POR @ ORL 2018-10-25;0,05779999999999996;0
BOS @ OKC 2018-10-25;-0,09660000000000005;0
DEN @ LAL 2018-10-25;0,03820000000000001;1
BKN @ NOP 2018-10-26;-0,06900000000000006;1
WAS @ SAC 2018-10-26;0,1552;1
MIL @ MIN 2018-10-26;0,09079999999999999;0
LAC @ HOU 2018-10-26;-0,0012000000000000344;0
DAL @ TOR 2018-10-26;0,14220000000000005;1
GSW @ NYK 2018-10-26;-0,09180000000000005;0
CHI @ CHA 2018-10-26;0,055400000000000005;1
LAL @ SAS 2018-10-27;-0,1462;1
ORL @ MIL 2018-10-27;0,04319999999999985;1
POR @ MIA 2018-10-27;-0,04099999999999998;1
CHA @ PHI 2018-10-27;-0,015999999999999903;1
PHX @ MEM 2018-10-27;-0,060799999999999965;1
CHI @ ATL 2018-10-27;-0,10460000000000003;0
UTA @ NOP 2018-10-27;0,04820000000000002;0
BOS @ DET 2018-10-27;-0,04039999999999999;0
IND @ CLE 2018-10-27;-0,05700000000000005;0
GSW @ BKN 2018-10-28;-0,0716;0
UTA @ DAL 2018-10-28;-0,01760000000000006;0
PHX @ OKC 2018-10-28;-0,1604;1
WAS @ LAC 2018-10-28;0,019400000000000084;1
LAL @ MIN 2018-10-29;-0,05980000000000002;1
NOP @ DEN 2018-10-29;-0,02260000000000001;1
DAL @ SAS 2018-10-29;0,01440000000000008;1
TOR @ MIL 2018-10-29;-0,02020000000000005;1
ATL @ PHI 2018-10-29;0,01639999999999997;1
BKN @ NYK 2018-10-29;-0,0524;1
SAC @ MIA 2018-10-29;-0,05979999999999985;0
POR @ IND 2018-10-29;0,042800000000000005;0
GSW @ CHI 2018-10-29;-0,05099999999999999;0
MIA @ CHA 2018-10-30;0,011599999999999944;1
ATL @ CLE 2018-10-30;0,03460000000000002;1
SAC @ ORL 2018-10-30;-0,07539999999999997;0
DET @ BOS 2018-10-30;-0,029800000000000104;1
PHI @ TOR 2018-10-30;0,04140000000000005;1
POR @ HOU 2018-10-30;-0,04760000000000003;0
WAS @ MEM 2018-10-30;0,0014000000000000679;1
LAC @ OKC 2018-10-30;-0,08000000000000002;1
DAL @ LAL 2018-10-31;0,06600000000000011;1
SAS @ PHX 2018-10-31;-0,00500000000000006;0
NOP @ GSW 2018-10-31;0,06120000000000003;1
IND @ NYK 2018-10-31;-0,07599999999999996;0
DEN @ CHI 2018-10-31;-0,005799999999999972;0
DET @ BKN 2018-10-31;0,009199999999999986;1
UTA @ MIN 2018-10-31;-0,03439999999999993;1
OKC @ CHA 2018-11-01;0,029799999999999938;0
DEN @ CLE 2018-11-01;-0,011200000000000043;0
LAC @ PHI 2018-11-01;-0,07480000000000003;1
SAC @ ATL 2018-11-01;-0,05280000000000007;0
MIL @ BOS 2018-11-01;-0,063;1
NOP @ POR 2018-11-01;0,006000000000000005;1
MIN @ GSW 2018-11-02;0,11280000000000007;1
MEM @ UTA 2018-11-02;-0,0030000000000000027;0
NYK @ DAL 2018-11-02;0,01040000000000002;0
TOR @ PHX 2018-11-02;-0,03920000000000001;0
OKC @ WAS 2018-11-02;-0,02420000000000011;0
HOU @ BKN 2018-11-02;0,027200000000000113;0
LAC @ ORL 2018-11-02;-0,07719999999999999;0
IND @ CHI 2018-11-02;-0,05179999999999996;0
LAL @ POR 2018-11-03;-0,008000000000000007;0
UTA @ DEN 2018-11-03;-0,006599999999999939;1
HOU @ CHI 2018-11-03;0,032799999999999996;0
NOP @ SAS 2018-11-03;0,023799999999999932;1
BOS @ IND 2018-11-03;0,09439999999999998;1
CLE @ CHA 2018-11-03;0,02560000000000001;1
DET @ PHI 2018-11-03;-0,021000000000000074;1
MIA @ ATL 2018-11-03;-0,03179999999999994;1
MIN @ POR 2018-11-04;0,03739999999999999;1
SAC @ MIL 2018-11-04;0,0010000000000000009;1
PHI @ BKN 2018-11-04;0,03019999999999995;1
NYK @ WAS 2018-11-04;-0,0020000000000000018;1
MEM @ PHX 2018-11-04;-0,009000000000000008;1
ORL @ SAS 2018-11-04;0,059;0
TOR @ LAL 2018-11-04;0,017199999999999993;0
TOR @ LAL 2018-11-04;0,017199999999999993;0
MIA @ DET 2018-11-05;-0,032200000000000006;0
HOU @ IND 2018-11-05;0,09160000000000001;0
CLE @ ORL 2018-11-05;-0,01920000000000005;1
CHI @ NYK 2018-11-05;0,022199999999999942;0
NOP @ OKC 2018-11-05;0,01820000000000005;1
BOS @ DEN 2018-11-05;0,045599999999999974;1
TOR @ UTA 2018-11-05;0,0024000000000000132;0
MEM @ GSW 2018-11-05;0,048400000000000054;1
MIN @ LAC 2018-11-05;0,09219999999999995;1
ATL @ CHA 2018-11-06;0,04799999999999993;1
WAS @ DAL 2018-11-06;0,012599999999999945;1
BKN @ PHX 2018-11-06;-0,006999999999999951;0
MIL @ POR 2018-11-06;-0,030999999999999917;1
OKC @ CLE 2018-11-07;-0,035800000000000054;0
DET @ ORL 2018-11-07;0,020400000000000085;0
NYK @ ATL 2018-11-07;0,0248000000000001;0
SAS @ MIA 2018-11-07;-0,026600000000000124;1
PHI @ IND 2018-11-07;0,01799999999999996;0
DEN @ MEM 2018-11-07;0,02860000000000007;1
CHI @ NOP 2018-11-07;0,03140000000000004;1
DAL @ UTA 2018-11-07;-0,006799999999999973;1
TOR @ SAC 2018-11-07;-0,03160000000000013;0
MIN @ LAL 2018-11-07;0,05099999999999999;1
HOU @ OKC 2018-11-08;0,06700000000000012;1
BOS @ PHX 2018-11-08;-0,028800000000000048;0
LAC @ POR 2018-11-08;-0,010399999999999965;1
MIL @ GSW 2018-11-08;0,03580000000000011;0
WAS @ ORL 2018-11-09;0,011599999999999944;1
CHA @ PHI 2018-11-09;-0,03299999999999992;1
DET @ ATL 2018-11-09;0,07380000000000003;0
IND @ MIA 2018-11-09;-0,012800000000000034;0
BKN @ DEN 2018-11-09;0,006000000000000061;0
BOS @ UTA 2018-11-09;0,011799999999999866;1
MIN @ SAC 2018-11-09;0,050400000000000056;1
NYK @ TOR 2018-11-10;0,06219999999999998;1
MIL @ LAC 2018-11-10;-0,012599999999999945;1
PHX @ NOP 2018-11-10;0,034999999999999976;1
WAS @ MIA 2018-11-10;-0,016200000000000103;0
CLE @ CHI 2018-11-10;-0,01819999999999994;1
PHI @ MEM 2018-11-10;0,011599999999999944;1
HOU @ SAS 2018-11-10;0,036599999999999966;1
OKC @ DAL 2018-11-10;-0,00040000000000006697;1
BKN @ GSW 2018-11-10;0,061399999999999955;1
LAL @ SAC 2018-11-10;-0,007199999999999984;0
CHA @ DET 2018-11-11;-0,05699999999999994;0
IND @ HOU 2018-11-11;-0,037800000000000056;1
ORL @ NYK 2018-11-11;-0,02300000000000002;0
MIL @ DEN 2018-11-11;-0,01639999999999997;0
BOS @ POR 2018-11-11;0,016199999999999937;1
ATL @ LAL 2018-11-11;-0,0014000000000000123;1
SAS @ SAC 2018-11-12;0,006000000000000061;1
PHX @ OKC 2018-11-12;0,03139999999999993;1
BKN @ MIN 2018-11-12;-0,053600000000000037;1
UTA @ MEM 2018-11-12;-0,010599999999999887;0
GSW @ LAC 2018-11-12;-0,04519999999999991;1
NOP @ TOR 2018-11-12;0,04919999999999991;0
PHI @ MIA 2018-11-12;-0,02700000000000008;0
ORL @ WAS 2018-11-12;-0,0017999999999999128;1
DAL @ CHI 2018-11-12;-0,04780000000000001;0
CHA @ CLE 2018-11-13;-0,041200000000000125;1
HOU @ DEN 2018-11-13;0,03900000000000009;0
ATL @ GSW 2018-11-13;0,041000000000000036;1
SAS @ PHX 2018-11-14;0,01540000000000008;1
UTA @ DAL 2018-11-14;0,022599999999999898;1
NYK @ OKC 2018-11-14;0,02920000000000006;1
NOP @ MIN 2018-11-14;-0,0524;1
MEM @ MIL 2018-11-14;0,04739999999999994;0
CHI @ BOS 2018-11-14;0,0126;1
MIA @ BKN 2018-11-14;-0,002999999999999947;0
CLE @ WAS 2018-11-14;0,017199999999999993;1
PHI @ ORL 2018-11-14;-0,010600000000000054;1
POR @ LAL 2018-11-14;-0,0033999999999999586;1
DET @ TOR 2018-11-14;0,08140000000000003;0
ATL @ DEN 2018-11-15;0,00919999999999993;1
SAS @ LAC 2018-11-15;0,059599999999999986;1
GSW @ HOU 2018-11-15;-0,049400000000000055;1
TOR @ BOS 2018-11-16;-0,049799999999999955;1
MIA @ IND 2018-11-16;-0,009599999999999942;1
UTA @ PHI 2018-11-16;0,04459999999999992;1
BKN @ WAS 2018-11-16;0,05560000000000004;0
SAC @ MEM 2018-11-16;0,005599999999999994;1
POR @ MIN 2018-11-16;-0,0004000000000001225;1
NYK @ NOP 2018-11-16;0,06240000000000001;1
CHI @ MIL 2018-11-16;0,07279999999999998;1
SAC @ HOU 2018-11-17;-0,018600000000000116;1
OKC @ PHX 2018-11-17;-0,0044000000000000705;0
GSW @ DAL 2018-11-17;0,025599999999999956;1
TOR @ CHI 2018-11-17;-0,04459999999999997;0
UTA @ BOS 2018-11-17;0,0042000000000000925;0
DEN @ NOP 2018-11-17;0,003200000000000036;1
LAL @ ORL 2018-11-17;0,030000000000000027;1
ATL @ IND 2018-11-17;0,039399999999999935;1
PHI @ CHA 2018-11-17;-0,03019999999999995;0
LAC @ BKN 2018-11-17;-0,05159999999999998;0
MEM @ MIN 2018-11-18;0,0011999999999999789;0
LAL @ MIA 2018-11-18;0,003600000000000103;0
NYK @ ORL 2018-11-18;0,059400000000000064;1
POR @ WAS 2018-11-18;0,030000000000000027;0
GSW @ SAS 2018-11-18;-0,05719999999999992;1
DEN @ MIL 2018-11-19;0,015200000000000047;1
DAL @ MEM 2018-11-19;-0,03560000000000002;1
LAC @ ATL 2018-11-19;-0,06679999999999997;0
SAS @ NOP 2018-11-19;0,05559999999999998;1
UTA @ IND 2018-11-19;0,01479999999999998;1
CLE @ DET 2018-11-19;-0,030400000000000038;1
BOS @ CHA 2018-11-19;-0,010599999999999998;1
PHX @ PHI 2018-11-19;0,008799999999999919;1
OKC @ SAC 2018-11-19;-0,014400000000000024;1
